ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A412,"CircuitSafe Electric Fuse, PTC, 1A, 32VAC, 250VDC, 50A (IR), Cartridge",PTC,1A,32V,250V,50A,Cartridge,Consumer Electronics
A413,"AmpShield Electric Fuse, PTC, 2A, 300VAC, 125VDC, 100A (IR), Blade",PTC,2A,300V,125V,100A,Blade,Automotive
A414,"Indicators PN Electric Fuse, Resettable, 30A, 250VAC, 60VDC, 35A (IR), Cartridge",Resettable,30A,250V,60V,35A,Cartridge,Automotive
A415,"ProtecTech Electric Fuse, Slow Blow, 5A, 400VAC, 24VDC, 10000A (IR), Through Hole",Slow Blow,5A,400V,24V,10000A,Through Hole,Industrial
A416,"Voltguard Electric Fuse, Fast Blow, 15A, 63VAC, 60VDC, 1500A (IR), Blade",Fast Blow,15A,63V,60V,1500A,Blade,Telecom
A417,"Indicators PN Electric Fuse, PTC, 25A, 63VAC, 48VDC, 10000A (IR), Blade",PTC,25A,63V,48V,10000A,Blade,Telecom
A418,"Indicators PN Electric Fuse, Resettable, 20A, 63VAC, 125VDC, 1500A (IR), Blade",Resettable,20A,63V,125V,1500A,Blade,Telecom
A419,"Indicators PN Electric Fuse, Resettable, 2A, 63VAC, 60VDC, 10000A (IR), Surface Mount",Resettable,2A,63V,60V,10000A,Surface Mount,Power Supply
A420,"CircuitSafe Electric Fuse, HRC, 1.5A, 125VAC, 60VDC, 50A (IR), Blade",HRC,1.5A,125V,60V,50A,Blade,Automotive
A421,"ProtecTech Electric Fuse, Resettable, 10A, 300VAC, 250VDC, 100A (IR), Panel Mount",Resettable,10A,300V,250V,100A,Panel Mount,Telecom
A422,"Voltguard Electric Fuse, PTC, 20A, 32VAC, 60VDC, 100A (IR), Blade",PTC,20A,32V,60V,100A,Blade,Power Supply
A423,"CircuitSafe Electric Fuse, Resettable, 30A, 125VAC, 150VDC, 1500A (IR), Surface Mount",Resettable,30A,125V,150V,1500A,Surface Mount,Industrial
A424,"ProtecTech Electric Fuse, Slow Blow, 2A, 125VAC, 24VDC, 50A (IR), Cartridge",Slow Blow,2A,125V,24V,50A,Cartridge,Industrial
A425,"Voltguard Electric Fuse, PTC, 7A, 300VAC, 48VDC, 1500A (IR), Blade",PTC,7A,300V,48V,1500A,Blade,Telecom
A426,"Voltguard Electric Fuse, PTC, 25A, 300VAC, 250VDC, 10000A (IR), Through Hole",PTC,25A,300V,250V,10000A,Through Hole,Power Supply
A427,"Indicators PN Electric Fuse, PTC, 3A, 63VAC, 48VDC, 100A (IR), Blade",PTC,3A,63V,48V,100A,Blade,Power Supply
A428,"ProtecTech Electric Fuse, Time Lag Blow, 0.5A, 250VAC, 48VDC, 50A (IR), Blade",Time Lag Blow,0.5A,250V,48V,50A,Blade,Power Supply
A429,"AmpShield Electric Fuse, Resettable, 10A, 250VAC, 250VDC, 200A (IR), Blade",Resettable,10A,250V,250V,200A,Blade,Telecom
A430,"CircuitSafe Electric Fuse, Fast Blow, 1A, 300VAC, 24VDC, 50A (IR), Cartridge",Fast Blow,1A,300V,24V,50A,Cartridge,Automotive
A431,"ProtecTech Electric Fuse, Fast Blow, 15A, 125VAC, 48VDC, 200A (IR), Panel Mount",Fast Blow,15A,125V,48V,200A,Panel Mount,Telecom
A432,"ProtecTech Electric Fuse, HRC, 1A, 300VAC, 24VDC, 100A (IR), Panel Mount",HRC,1A,300V,24V,100A,Panel Mount,Consumer Electronics
A433,"Voltguard Electric Fuse, Slow Blow, 30A, 250VAC, 150VDC, 50A (IR), Blade",Slow Blow,30A,250V,150V,50A,Blade,Automotive
A434,"Indicators PN Electric Fuse, Time Lag Blow, 0.5A, 250VAC, 60VDC, 100A (IR), Surface Mount",Time Lag Blow,0.5A,250V,60V,100A,Surface Mount,Telecom
A435,"AmpShield Electric Fuse, Fast Blow, 2A, 400VAC, 150VDC, 10000A (IR), Cartridge",Fast Blow,2A,400V,150V,10000A,Cartridge,Power Supply
A436,"CircuitSafe Electric Fuse, Fast Blow, 20A, 63VAC, 48VDC, 50A (IR), Surface Mount",Fast Blow,20A,63V,48V,50A,Surface Mount,Power Supply
A437,"CircuitSafe Electric Fuse, HRC, 3A, 300VAC, 150VDC, 50A (IR), Cartridge",HRC,3A,300V,150V,50A,Cartridge,Consumer Electronics
A438,"Indicators PN Electric Fuse, HRC, 3A, 300VAC, 250VDC, 35A (IR), Through Hole",HRC,3A,300V,250V,35A,Through Hole,Telecom
A439,"CircuitSafe Electric Fuse, Time Lag Blow, 25A, 63VAC, 250VDC, 50A (IR), Through Hole",Time Lag Blow,25A,63V,250V,50A,Through Hole,Industrial
A440,"AmpShield Electric Fuse, Fast Blow, 25A, 250VAC, 125VDC, 50A (IR), Panel Mount",Fast Blow,25A,250V,125V,50A,Panel Mount,Consumer Electronics
A441,"CircuitSafe Electric Fuse, PTC, 10A, 32VAC, 250VDC, 35A (IR), Blade",PTC,10A,32V,250V,35A,Blade,Power Supply
A442,"Indicators PN Electric Fuse, Resettable, 5A, 250VAC, 125VDC, 100A (IR), Panel Mount",Resettable,5A,250V,125V,100A,Panel Mount,Automotive
A443,"ProtecTech Electric Fuse, Resettable, 10A, 400VAC, 250VDC, 10000A (IR), Cartridge",Resettable,10A,400V,250V,10000A,Cartridge,Automotive
A444,"CircuitSafe Electric Fuse, PTC, 2A, 250VAC, 48VDC, 200A (IR), Cartridge",PTC,2A,250V,48V,200A,Cartridge,Consumer Electronics
A445,"Indicators PN Electric Fuse, Time Lag Blow, 15A, 300VAC, 48VDC, 1500A (IR), Blade",Time Lag Blow,15A,300V,48V,1500A,Blade,Consumer Electronics
A446,"AmpShield Electric Fuse, Slow Blow, 1A, 400VAC, 125VDC, 35A (IR), Surface Mount",Slow Blow,1A,400V,125V,35A,Surface Mount,Industrial
A447,"Voltguard Electric Fuse, PTC, 0.5A, 250VAC, 48VDC, 10000A (IR), Through Hole",PTC,0.5A,250V,48V,10000A,Through Hole,Consumer Electronics
A448,"Voltguard Electric Fuse, Time Lag Blow, 1A, 400VAC, 60VDC, 100A (IR), Surface Mount",Time Lag Blow,1A,400V,60V,100A,Surface Mount,Consumer Electronics
A449,"Indicators PN Electric Fuse, Slow Blow, 7A, 400VAC, 60VDC, 10000A (IR), Through Hole",Slow Blow,7A,400V,60V,10000A,Through Hole,Telecom
A450,"ProtecTech Electric Fuse, Resettable, 1A, 32VAC, 48VDC, 200A (IR), Surface Mount",Resettable,1A,32V,48V,200A,Surface Mount,Industrial
A451,"Indicators PN Electric Fuse, Fast Blow, 15A, 400VAC, 125VDC, 35A (IR), Surface Mount",Fast Blow,15A,400V,125V,35A,Surface Mount,Consumer Electronics
A452,"Indicators PN Electric Fuse, PTC, 30A, 63VAC, 125VDC, 35A (IR), Through Hole",PTC,30A,63V,125V,35A,Through Hole,Telecom
A453,"AmpShield Electric Fuse, Resettable, 1A, 32VAC, 60VDC, 100A (IR), Cartridge",Resettable,1A,32V,60V,100A,Cartridge,Industrial
A454,"Indicators PN Electric Fuse, Fast Blow, 25A, 400VAC, 48VDC, 35A (IR), Panel Mount",Fast Blow,25A,400V,48V,35A,Panel Mount,Power Supply
A455,"AmpShield Electric Fuse, HRC, 25A, 63VAC, 125VDC, 100A (IR), Through Hole",HRC,25A,63V,125V,100A,Through Hole,Industrial
A456,"Indicators PN Electric Fuse, HRC, 25A, 250VAC, 48VDC, 35A (IR), Surface Mount",HRC,25A,250V,48V,35A,Surface Mount,Industrial
A457,"Voltguard Electric Fuse, HRC, 30A, 250VAC, 60VDC, 200A (IR), Cartridge",HRC,30A,250V,60V,200A,Cartridge,Industrial
A458,"ProtecTech Electric Fuse, Time Lag Blow, 25A, 32VAC, 48VDC, 1500A (IR), Panel Mount",Time Lag Blow,25A,32V,48V,1500A,Panel Mount,Power Supply
A459,"ProtecTech Electric Fuse, Time Lag Blow, 30A, 32VAC, 250VDC, 100A (IR), Through Hole",Time Lag Blow,30A,32V,250V,100A,Through Hole,Power Supply
A460,"AmpShield Electric Fuse, HRC, 2A, 400VAC, 125VDC, 100A (IR), Surface Mount",HRC,2A,400V,125V,100A,Surface Mount,Industrial
A461,"ProtecTech Electric Fuse, PTC, 1A, 63VAC, 125VDC, 10000A (IR), Panel Mount",PTC,1A,63V,125V,10000A,Panel Mount,Automotive
A462,"CircuitSafe Electric Fuse, Slow Blow, 5A, 125VAC, 48VDC, 200A (IR), Panel Mount",Slow Blow,5A,125V,48V,200A,Panel Mount,Telecom
A463,"Indicators PN Electric Fuse, HRC, 25A, 63VAC, 125VDC, 35A (IR), Surface Mount",HRC,25A,63V,125V,35A,Surface Mount,Power Supply
A464,"CircuitSafe Electric Fuse, Slow Blow, 3A, 63VAC, 24VDC, 35A (IR), Blade",Slow Blow,3A,63V,24V,35A,Blade,Power Supply
A465,"ProtecTech Electric Fuse, Resettable, 30A, 300VAC, 125VDC, 200A (IR), Blade",Resettable,30A,300V,125V,200A,Blade,Automotive
A466,"ProtecTech Electric Fuse, HRC, 20A, 63VAC, 60VDC, 35A (IR), Cartridge",HRC,20A,63V,60V,35A,Cartridge,Automotive
A467,"CircuitSafe Electric Fuse, Fast Blow, 1.5A, 300VAC, 60VDC, 200A (IR), Panel Mount",Fast Blow,1.5A,300V,60V,200A,Panel Mount,Automotive
A468,"AmpShield Electric Fuse, Resettable, 7A, 400VAC, 48VDC, 35A (IR), Through Hole",Resettable,7A,400V,48V,35A,Through Hole,Automotive
A469,"Indicators PN Electric Fuse, Slow Blow, 10A, 300VAC, 150VDC, 35A (IR), Cartridge",Slow Blow,10A,300V,150V,35A,Cartridge,Industrial
A470,"CircuitSafe Electric Fuse, Slow Blow, 30A, 63VAC, 250VDC, 35A (IR), Through Hole",Slow Blow,30A,63V,250V,35A,Through Hole,Telecom
A471,"CircuitSafe Electric Fuse, HRC, 15A, 400VAC, 60VDC, 50A (IR), Cartridge",HRC,15A,400V,60V,50A,Cartridge,Industrial
A472,"Indicators PN Electric Fuse, Resettable, 1A, 32VAC, 60VDC, 200A (IR), Cartridge",Resettable,1A,32V,60V,200A,Cartridge,Power Supply
A473,"ProtecTech Electric Fuse, Time Lag Blow, 30A, 300VAC, 250VDC, 35A (IR), Blade",Time Lag Blow,30A,300V,250V,35A,Blade,Telecom
A474,"CircuitSafe Electric Fuse, Time Lag Blow, 0.5A, 250VAC, 150VDC, 50A (IR), Cartridge",Time Lag Blow,0.5A,250V,150V,50A,Cartridge,Industrial
A475,"Indicators PN Electric Fuse, Slow Blow, 20A, 400VAC, 250VDC, 35A (IR), Through Hole",Slow Blow,20A,400V,250V,35A,Through Hole,Power Supply
A476,"Voltguard Electric Fuse, Slow Blow, 0.5A, 63VAC, 24VDC, 200A (IR), Cartridge",Slow Blow,0.5A,63V,24V,200A,Cartridge,Telecom
A477,"CircuitSafe Electric Fuse, Fast Blow, 0.5A, 300VAC, 250VDC, 10000A (IR), Blade",Fast Blow,0.5A,300V,250V,10000A,Blade,Industrial
A478,"CircuitSafe Electric Fuse, Fast Blow, 7A, 400VAC, 60VDC, 100A (IR), Surface Mount",Fast Blow,7A,400V,60V,100A,Surface Mount,Power Supply
A479,"Indicators PN Electric Fuse, Slow Blow, 15A, 400VAC, 24VDC, 50A (IR), Through Hole",Slow Blow,15A,400V,24V,50A,Through Hole,Power Supply
A480,"ProtecTech Electric Fuse, PTC, 1A, 250VAC, 60VDC, 100A (IR), Cartridge",PTC,1A,250V,60V,100A,Cartridge,Automotive
A481,"ProtecTech Electric Fuse, PTC, 0.5A, 125VAC, 48VDC, 100A (IR), Panel Mount",PTC,0.5A,125V,48V,100A,Panel Mount,Consumer Electronics
A482,"Voltguard Electric Fuse, Fast Blow, 10A, 125VAC, 150VDC, 200A (IR), Through Hole",Fast Blow,10A,125V,150V,200A,Through Hole,Power Supply
A483,"Indicators PN Electric Fuse, Fast Blow, 0.5A, 250VAC, 24VDC, 50A (IR), Panel Mount",Fast Blow,0.5A,250V,24V,50A,Panel Mount,Consumer Electronics
A484,"Voltguard Electric Fuse, Time Lag Blow, 0.5A, 400VAC, 125VDC, 10000A (IR), Cartridge",Time Lag Blow,0.5A,400V,125V,10000A,Cartridge,Automotive
A485,"Indicators PN Electric Fuse, HRC, 2A, 250VAC, 125VDC, 35A (IR), Through Hole",HRC,2A,250V,125V,35A,Through Hole,Consumer Electronics
A486,"Indicators PN Electric Fuse, Slow Blow, 2A, 300VAC, 125VDC, 10000A (IR), Cartridge",Slow Blow,2A,300V,125V,10000A,Cartridge,Telecom
A487,"ProtecTech Electric Fuse, HRC, 1A, 300VAC, 48VDC, 10000A (IR), Blade",HRC,1A,300V,48V,10000A,Blade,Automotive
A488,"CircuitSafe Electric Fuse, HRC, 0.5A, 250VAC, 250VDC, 50A (IR), Through Hole",HRC,0.5A,250V,250V,50A,Through Hole,Consumer Electronics
A489,"CircuitSafe Electric Fuse, Time Lag Blow, 7A, 400VAC, 250VDC, 100A (IR), Cartridge",Time Lag Blow,7A,400V,250V,100A,Cartridge,Telecom
A490,"Indicators PN Electric Fuse, Fast Blow, 1A, 63VAC, 48VDC, 1500A (IR), Surface Mount",Fast Blow,1A,63V,48V,1500A,Surface Mount,Industrial
A491,"CircuitSafe Electric Fuse, Fast Blow, 10A, 250VAC, 60VDC, 200A (IR), Surface Mount",Fast Blow,10A,250V,60V,200A,Surface Mount,Power Supply
A492,"Voltguard Electric Fuse, Fast Blow, 10A, 125VAC, 125VDC, 100A (IR), Surface Mount",Fast Blow,10A,125V,125V,100A,Surface Mount,Automotive
A493,"CircuitSafe Electric Fuse, Resettable, 3A, 400VAC, 250VDC, 1500A (IR), Surface Mount",Resettable,3A,400V,250V,1500A,Surface Mount,Industrial
A494,"Indicators PN Electric Fuse, Fast Blow, 1A, 400VAC, 48VDC, 100A (IR), Blade",Fast Blow,1A,400V,48V,100A,Blade,Power Supply
A495,"ProtecTech Electric Fuse, Resettable, 3A, 125VAC, 48VDC, 35A (IR), Blade",Resettable,3A,125V,48V,35A,Blade,Telecom
A496,"Indicators PN Electric Fuse, Resettable, 15A, 63VAC, 24VDC, 200A (IR), Surface Mount",Resettable,15A,63V,24V,200A,Surface Mount,Industrial
A497,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 63VAC, 48VDC, 50A (IR), Blade",Slow Blow,0.5A,63V,48V,50A,Blade,Consumer Electronics
A498,"AmpShield Electric Fuse, HRC, 20A, 125VAC, 24VDC, 35A (IR), Surface Mount",HRC,20A,125V,24V,35A,Surface Mount,Industrial
A499,"Voltguard Electric Fuse, Fast Blow, 1A, 125VAC, 24VDC, 35A (IR), Blade",Fast Blow,1A,125V,24V,35A,Blade,Automotive
A500,"AmpShield Electric Fuse, HRC, 7A, 400VAC, 125VDC, 200A (IR), Surface Mount",HRC,7A,400V,125V,200A,Surface Mount,Telecom
A501,"Voltguard Electric Fuse, Fast Blow, 5A, 63VAC, 48VDC, 100A (IR), Cartridge",Fast Blow,5A,63V,48V,100A,Cartridge,Telecom
A502,"AmpShield Electric Fuse, Slow Blow, 20A, 300VAC, 150VDC, 50A (IR), Cartridge",Slow Blow,20A,300V,150V,50A,Cartridge,Telecom
A503,"AmpShield Electric Fuse, HRC, 10A, 32VAC, 24VDC, 100A (IR), Blade",HRC,10A,32V,24V,100A,Blade,Industrial
A504,"AmpShield Electric Fuse, Fast Blow, 25A, 300VAC, 48VDC, 10000A (IR), Panel Mount",Fast Blow,25A,300V,48V,10000A,Panel Mount,Automotive
A505,"ProtecTech Electric Fuse, Resettable, 5A, 250VAC, 150VDC, 200A (IR), Cartridge",Resettable,5A,250V,150V,200A,Cartridge,Power Supply
A506,"Voltguard Electric Fuse, Time Lag Blow, 7A, 125VAC, 48VDC, 35A (IR), Cartridge",Time Lag Blow,7A,125V,48V,35A,Cartridge,Power Supply
A507,"Voltguard Electric Fuse, Slow Blow, 3A, 32VAC, 125VDC, 1500A (IR), Cartridge",Slow Blow,3A,32V,125V,1500A,Cartridge,Power Supply
A508,"Indicators PN Electric Fuse, Fast Blow, 1A, 63VAC, 250VDC, 50A (IR), Cartridge",Fast Blow,1A,63V,250V,50A,Cartridge,Power Supply
A509,"ProtecTech Electric Fuse, Fast Blow, 20A, 250VAC, 60VDC, 50A (IR), Through Hole",Fast Blow,20A,250V,60V,50A,Through Hole,Industrial
A510,"ProtecTech Electric Fuse, Time Lag Blow, 30A, 400VAC, 60VDC, 1500A (IR), Surface Mount",Time Lag Blow,30A,400V,60V,1500A,Surface Mount,Consumer Electronics
A511,"Voltguard Electric Fuse, HRC, 1.5A, 300VAC, 48VDC, 200A (IR), Panel Mount",HRC,1.5A,300V,48V,200A,Panel Mount,Consumer Electronics
A512,"Indicators PN Electric Fuse, PTC, 0.5A, 32VAC, 24VDC, 50A (IR), Panel Mount",PTC,0.5A,32V,24V,50A,Panel Mount,Industrial
A513,"CircuitSafe Electric Fuse, HRC, 10A, 32VAC, 60VDC, 1500A (IR), Through Hole",HRC,10A,32V,60V,1500A,Through Hole,Industrial
A514,"Voltguard Electric Fuse, Resettable, 1.5A, 125VAC, 24VDC, 35A (IR), Through Hole",Resettable,1.5A,125V,24V,35A,Through Hole,Power Supply
A515,"Indicators PN Electric Fuse, Slow Blow, 15A, 125VAC, 24VDC, 100A (IR), Blade",Slow Blow,15A,125V,24V,100A,Blade,Power Supply
A516,"CircuitSafe Electric Fuse, Time Lag Blow, 3A, 125VAC, 48VDC, 50A (IR), Blade",Time Lag Blow,3A,125V,48V,50A,Blade,Telecom
A517,"ProtecTech Electric Fuse, Fast Blow, 30A, 300VAC, 250VDC, 1500A (IR), Cartridge",Fast Blow,30A,300V,250V,1500A,Cartridge,Industrial
A518,"Voltguard Electric Fuse, Fast Blow, 7A, 125VAC, 250VDC, 10000A (IR), Cartridge",Fast Blow,7A,125V,250V,10000A,Cartridge,Industrial
A519,"Voltguard Electric Fuse, Resettable, 0.5A, 400VAC, 150VDC, 200A (IR), Panel Mount",Resettable,0.5A,400V,150V,200A,Panel Mount,Automotive
A520,"AmpShield Electric Fuse, HRC, 5A, 300VAC, 48VDC, 10000A (IR), Panel Mount",HRC,5A,300V,48V,10000A,Panel Mount,Automotive
A521,"Voltguard Electric Fuse, Fast Blow, 5A, 400VAC, 24VDC, 50A (IR), Cartridge",Fast Blow,5A,400V,24V,50A,Cartridge,Consumer Electronics
A522,"Indicators PN Electric Fuse, Resettable, 1A, 400VAC, 250VDC, 10000A (IR), Cartridge",Resettable,1A,400V,250V,10000A,Cartridge,Telecom
A523,"Indicators PN Electric Fuse, Time Lag Blow, 2A, 63VAC, 250VDC, 35A (IR), Cartridge",Time Lag Blow,2A,63V,250V,35A,Cartridge,Consumer Electronics
A524,"AmpShield Electric Fuse, Resettable, 0.5A, 32VAC, 125VDC, 200A (IR), Blade",Resettable,0.5A,32V,125V,200A,Blade,Industrial
A525,"ProtecTech Electric Fuse, PTC, 7A, 125VAC, 150VDC, 200A (IR), Surface Mount",PTC,7A,125V,150V,200A,Surface Mount,Telecom
A526,"CircuitSafe Electric Fuse, Resettable, 25A, 63VAC, 48VDC, 200A (IR), Surface Mount",Resettable,25A,63V,48V,200A,Surface Mount,Automotive
A527,"AmpShield Electric Fuse, Slow Blow, 5A, 125VAC, 24VDC, 35A (IR), Cartridge",Slow Blow,5A,125V,24V,35A,Cartridge,Industrial
A528,"ProtecTech Electric Fuse, Fast Blow, 30A, 32VAC, 150VDC, 35A (IR), Cartridge",Fast Blow,30A,32V,150V,35A,Cartridge,Power Supply
A529,"AmpShield Electric Fuse, PTC, 30A, 32VAC, 125VDC, 10000A (IR), Through Hole",PTC,30A,32V,125V,10000A,Through Hole,Power Supply
A530,"ProtecTech Electric Fuse, Fast Blow, 0.5A, 32VAC, 60VDC, 50A (IR), Through Hole",Fast Blow,0.5A,32V,60V,50A,Through Hole,Telecom
A531,"Voltguard Electric Fuse, Resettable, 30A, 300VAC, 60VDC, 10000A (IR), Cartridge",Resettable,30A,300V,60V,10000A,Cartridge,Consumer Electronics
A532,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 250VAC, 150VDC, 1500A (IR), Blade",Slow Blow,0.5A,250V,150V,1500A,Blade,Industrial
A533,"Voltguard Electric Fuse, Time Lag Blow, 0.5A, 250VAC, 24VDC, 100A (IR), Panel Mount",Time Lag Blow,0.5A,250V,24V,100A,Panel Mount,Telecom
A534,"AmpShield Electric Fuse, Slow Blow, 0.5A, 63VAC, 48VDC, 10000A (IR), Cartridge",Slow Blow,0.5A,63V,48V,10000A,Cartridge,Automotive
A535,"ProtecTech Electric Fuse, Slow Blow, 3A, 250VAC, 125VDC, 200A (IR), Cartridge",Slow Blow,3A,250V,125V,200A,Cartridge,Automotive
A536,"Indicators PN Electric Fuse, PTC, 1.5A, 125VAC, 125VDC, 100A (IR), Through Hole",PTC,1.5A,125V,125V,100A,Through Hole,Telecom
A537,"Indicators PN Electric Fuse, Time Lag Blow, 10A, 250VAC, 60VDC, 50A (IR), Cartridge",Time Lag Blow,10A,250V,60V,50A,Cartridge,Power Supply
A538,"AmpShield Electric Fuse, Fast Blow, 30A, 400VAC, 24VDC, 35A (IR), Cartridge",Fast Blow,30A,400V,24V,35A,Cartridge,Power Supply
A539,"ProtecTech Electric Fuse, HRC, 2A, 300VAC, 24VDC, 200A (IR), Panel Mount",HRC,2A,300V,24V,200A,Panel Mount,Telecom
A540,"AmpShield Electric Fuse, Resettable, 10A, 300VAC, 48VDC, 200A (IR), Cartridge",Resettable,10A,300V,48V,200A,Cartridge,Automotive
A541,"Voltguard Electric Fuse, Resettable, 0.5A, 300VAC, 150VDC, 1500A (IR), Panel Mount",Resettable,0.5A,300V,150V,1500A,Panel Mount,Power Supply
A542,"Indicators PN Electric Fuse, Slow Blow, 10A, 63VAC, 48VDC, 50A (IR), Through Hole",Slow Blow,10A,63V,48V,50A,Through Hole,Industrial
A543,"CircuitSafe Electric Fuse, PTC, 1A, 400VAC, 125VDC, 50A (IR), Through Hole",PTC,1A,400V,125V,50A,Through Hole,Power Supply
A544,"ProtecTech Electric Fuse, Time Lag Blow, 30A, 32VAC, 24VDC, 200A (IR), Panel Mount",Time Lag Blow,30A,32V,24V,200A,Panel Mount,Telecom
A545,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 300VAC, 125VDC, 35A (IR), Panel Mount",Time Lag Blow,3A,300V,125V,35A,Panel Mount,Power Supply
A546,"ProtecTech Electric Fuse, PTC, 1A, 250VAC, 48VDC, 50A (IR), Panel Mount",PTC,1A,250V,48V,50A,Panel Mount,Power Supply
A547,"AmpShield Electric Fuse, Slow Blow, 1A, 300VAC, 24VDC, 100A (IR), Panel Mount",Slow Blow,1A,300V,24V,100A,Panel Mount,Consumer Electronics
A548,"Indicators PN Electric Fuse, Time Lag Blow, 7A, 400VAC, 125VDC, 1500A (IR), Panel Mount",Time Lag Blow,7A,400V,125V,1500A,Panel Mount,Telecom
A549,"Indicators PN Electric Fuse, Fast Blow, 3A, 250VAC, 48VDC, 1500A (IR), Panel Mount",Fast Blow,3A,250V,48V,1500A,Panel Mount,Telecom
A550,"CircuitSafe Electric Fuse, PTC, 5A, 400VAC, 48VDC, 35A (IR), Blade",PTC,5A,400V,48V,35A,Blade,Consumer Electronics
A551,"Voltguard Electric Fuse, Slow Blow, 5A, 125VAC, 60VDC, 100A (IR), Blade",Slow Blow,5A,125V,60V,100A,Blade,Automotive
A552,"ProtecTech Electric Fuse, Fast Blow, 3A, 400VAC, 125VDC, 100A (IR), Cartridge",Fast Blow,3A,400V,125V,100A,Cartridge,Telecom
A553,"ProtecTech Electric Fuse, Resettable, 1A, 63VAC, 125VDC, 50A (IR), Blade",Resettable,1A,63V,125V,50A,Blade,Telecom
A554,"AmpShield Electric Fuse, Time Lag Blow, 0.5A, 300VAC, 48VDC, 35A (IR), Cartridge",Time Lag Blow,0.5A,300V,48V,35A,Cartridge,Power Supply
A555,"Indicators PN Electric Fuse, Fast Blow, 15A, 300VAC, 24VDC, 50A (IR), Through Hole",Fast Blow,15A,300V,24V,50A,Through Hole,Industrial
A556,"CircuitSafe Electric Fuse, Fast Blow, 0.5A, 250VAC, 24VDC, 100A (IR), Through Hole",Fast Blow,0.5A,250V,24V,100A,Through Hole,Consumer Electronics
A557,"CircuitSafe Electric Fuse, PTC, 15A, 250VAC, 250VDC, 35A (IR), Surface Mount",PTC,15A,250V,250V,35A,Surface Mount,Industrial
A558,"CircuitSafe Electric Fuse, PTC, 20A, 250VAC, 48VDC, 200A (IR), Panel Mount",PTC,20A,250V,48V,200A,Panel Mount,Power Supply
A559,"Indicators PN Electric Fuse, Time Lag Blow, 1.5A, 125VAC, 250VDC, 10000A (IR), Surface Mount",Time Lag Blow,1.5A,125V,250V,10000A,Surface Mount,Consumer Electronics
A560,"Voltguard Electric Fuse, PTC, 0.5A, 63VAC, 150VDC, 50A (IR), Through Hole",PTC,0.5A,63V,150V,50A,Through Hole,Industrial
A561,"Voltguard Electric Fuse, Time Lag Blow, 25A, 250VAC, 150VDC, 35A (IR), Surface Mount",Time Lag Blow,25A,250V,150V,35A,Surface Mount,Telecom
A562,"CircuitSafe Electric Fuse, Resettable, 1.5A, 300VAC, 24VDC, 50A (IR), Cartridge",Resettable,1.5A,300V,24V,50A,Cartridge,Power Supply
A563,"AmpShield Electric Fuse, Resettable, 30A, 400VAC, 60VDC, 200A (IR), Blade",Resettable,30A,400V,60V,200A,Blade,Consumer Electronics
A564,"AmpShield Electric Fuse, Time Lag Blow, 2A, 250VAC, 60VDC, 10000A (IR), Panel Mount",Time Lag Blow,2A,250V,60V,10000A,Panel Mount,Power Supply
A565,"ProtecTech Electric Fuse, HRC, 1A, 32VAC, 150VDC, 10000A (IR), Cartridge",HRC,1A,32V,150V,10000A,Cartridge,Power Supply
A566,"CircuitSafe Electric Fuse, HRC, 3A, 125VAC, 250VDC, 35A (IR), Blade",HRC,3A,125V,250V,35A,Blade,Automotive
A567,"Voltguard Electric Fuse, Time Lag Blow, 25A, 125VAC, 60VDC, 100A (IR), Cartridge",Time Lag Blow,25A,125V,60V,100A,Cartridge,Industrial
A568,"Indicators PN Electric Fuse, HRC, 2A, 32VAC, 150VDC, 200A (IR), Cartridge",HRC,2A,32V,150V,200A,Cartridge,Industrial
A569,"Indicators PN Electric Fuse, Resettable, 10A, 125VAC, 60VDC, 200A (IR), Blade",Resettable,10A,125V,60V,200A,Blade,Telecom
A570,"AmpShield Electric Fuse, HRC, 30A, 300VAC, 48VDC, 100A (IR), Through Hole",HRC,30A,300V,48V,100A,Through Hole,Power Supply
A571,"CircuitSafe Electric Fuse, Resettable, 5A, 300VAC, 60VDC, 50A (IR), Panel Mount",Resettable,5A,300V,60V,50A,Panel Mount,Industrial
A572,"CircuitSafe Electric Fuse, Slow Blow, 10A, 63VAC, 250VDC, 100A (IR), Panel Mount",Slow Blow,10A,63V,250V,100A,Panel Mount,Industrial
A573,"CircuitSafe Electric Fuse, Resettable, 1A, 63VAC, 60VDC, 50A (IR), Cartridge",Resettable,1A,63V,60V,50A,Cartridge,Telecom
A574,"Indicators PN Electric Fuse, Time Lag Blow, 3A, 300VAC, 60VDC, 200A (IR), Surface Mount",Time Lag Blow,3A,300V,60V,200A,Surface Mount,Telecom
A575,"ProtecTech Electric Fuse, Resettable, 20A, 300VAC, 150VDC, 35A (IR), Blade",Resettable,20A,300V,150V,35A,Blade,Industrial
A576,"Voltguard Electric Fuse, Slow Blow, 25A, 250VAC, 150VDC, 100A (IR), Blade",Slow Blow,25A,250V,150V,100A,Blade,Automotive
A577,"CircuitSafe Electric Fuse, Fast Blow, 2A, 125VAC, 125VDC, 1500A (IR), Blade",Fast Blow,2A,125V,125V,1500A,Blade,Industrial
